Age,Education,Marital_Status,Income,Child,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,total_spent,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumDealsPurchases,NumWebVisitsMonth,total_purchased,Accepted_campaign,Complain
39,higher_education,single,81361.0,no_child,2014-02-25,18,163,23,424,27,65,76,778,3,10,13,1,1,26,no campaign,0
66,higher_education,relationship,29440.0,kid_and_teen,2013-08-11,95,17,8,14,10,4,3,56,1,0,4,2,7,5,no campaign,0
56,higher_education,relationship,36138.0,kid_and_teen,2013-07-16,48,130,0,16,0,0,5,151,3,1,4,5,7,8,4th_campaign,0
69,higher_education,single,50388.0,only_teen,2014-05-28,3,292,6,37,0,3,34,372,6,1,6,4,7,13,1st_campaign,0
53,higher_education,relationship,79593.0,no_child,2014-05-12,70,350,60,568,110,133,145,1366,5,6,7,1,2,18,5th_campaign,0
59,higher_education,relationship,54178.0,only_teen,2014-01-21,79,135,9,39,4,0,7,194,2,2,5,1,2,9,no campaign,0
69,higher_education,relationship,52247.25135379061,kid_and_teen,2012-11-19,4,230,42,192,49,37,53,603,7,2,8,12,9,17,no campaign,0
69,higher_education,single,52247.25135379061,kid_and_teen,2014-05-27,45,7,0,8,2,0,1,18,1,0,2,1,7,3,no campaign,0
53,higher_education,relationship,52247.25135379061,no_child,2013-11-23,87,445,37,359,98,28,18,985,2,4,8,1,1,14,no campaign,0
54,higher_education,single,42394.0,only_kid,2014-03-23,69,15,2,10,0,1,4,32,1,0,3,1,7,4,no campaign,0
56,higher_education,relationship,23626.0,only_kid,2014-05-24,84,27,2,14,0,0,0,43,3,1,3,3,5,7,no campaign,0
43,higher_education,relationship,30096.0,only_kid,2014-05-22,30,5,3,11,12,5,9,45,2,0,3,1,6,5,no campaign,0
66,higher_education,single,47916.0,only_teen,2012-11-22,72,505,0,26,0,0,75,606,7,4,6,5,6,17,4th_campaign,0
54,higher_education,single,51813.0,kid_and_teen,2013-04-11,37,51,2,7,0,1,2,63,2,0,3,2,7,5,no campaign,0
75,higher_education,relationship,78497.0,no_child,2013-12-01,44,207,26,447,75,0,223,978,5,7,12,1,2,24,1st_campaign,0
43,higher_education,relationship,50150.0,no_child,2013-06-20,32,135,46,92,65,61,11,410,5,2,7,2,5,14,no campaign,0
66,higher_education,single,47823.0,only_teen,2013-07-23,0,53,1,5,2,1,10,72,2,0,3,2,8,5,no campaign,0
67,higher_education,single,34554.0,only_teen,2014-03-30,43,41,1,6,2,0,5,55,2,0,3,2,6,5,no campaign,0
47,higher_education,relationship,85693.0,only_teen,2013-04-20,59,386,172,183,185,132,111,1169,9,5,11,2,5,25,no campaign,0
81,higher_education,relationship,65846.0,no_child,2013-05-17,68,562,81,276,80,40,81,1120,6,3,6,1,4,15,no campaign,0
67,higher_education,relationship,87195.0,no_child,2014-05-08,35,217,76,690,50,26,38,1097,3,11,5,1,1,19,last_campaign,0
47,Basic,relationship,24594.0,only_kid,2013-12-10,94,1,3,6,10,0,9,29,1,0,3,1,5,4,no campaign,0
62,higher_education,relationship,49096.0,kid_and_teen,2013-09-24,15,144,1,32,2,1,7,187,4,1,4,4,7,9,no campaign,0
57,higher_education,relationship,52413.0,kid_and_teen,2013-02-02,56,295,106,271,75,98,65,910,6,4,12,4,6,22,no campaign,0
48,higher_education,single,38557.0,only_kid,2012-12-19,17,76,3,31,4,4,27,145,3,1,3,2,7,7,no campaign,0
66,higher_education,relationship,89058.0,no_child,2012-12-07,18,454,194,106,31,22,43,850,5,4,4,1,2,13,no campaign,0
47,higher_education,relationship,77298.0,only_teen,2013-11-02,46,425,115,292,23,35,79,969,6,6,11,1,3,23,no campaign,0
35,higher_education,single,68126.0,no_child,2012-11-10,40,1332,17,311,23,51,86,1820,7,4,5,1,9,16,4th_campaign,0
63,higher_education,relationship,57288.0,only_teen,2014-06-25,27,527,0,21,0,0,60,608,8,1,8,3,6,17,4th_campaign,0
35,higher_education,single,86037.0,no_child,2013-01-02,95,490,44,125,29,20,22,730,6,7,11,1,3,24,4th_campaign,0
46,higher_education,relationship,43974.0,only_kid,2012-12-12,19,378,0,101,0,0,72,551,6,4,6,5,7,16,no campaign,0
64,higher_education,single,50785.0,kid_and_teen,2013-09-10,27,64,1,21,0,1,27,114,2,1,3,2,6,6,no campaign,0
56,higher_education,relationship,90765.0,no_child,2014-01-24,25,547,99,812,151,82,33,1724,4,6,5,0,1,15,1st_campaign,0
48,higher_education,relationship,36550.0,only_kid,2013-02-19,74,47,90,94,123,103,120,577,9,1,5,5,9,15,no campaign,0
59,higher_education,relationship,30753.0,kid_and_teen,2013-07-11,85,12,5,25,0,9,30,81,1,1,3,2,5,5,no campaign,0
57,higher_education,relationship,21918.0,only_kid,2013-11-14,37,1,6,7,11,5,3,33,2,0,3,2,6,5,no campaign,0
73,higher_education,relationship,56129.0,only_teen,2013-06-20,65,320,48,133,39,72,48,660,6,2,10,4,4,18,no campaign,0
59,higher_education,single,32557.0,only_kid,2014-02-24,13,34,3,29,0,4,10,80,2,1,3,3,5,6,last_campaign,0
41,higher_education,relationship,19510.0,kid_and_teen,2013-09-04,63,9,0,7,3,4,7,30,1,0,3,2,7,4,no campaign,0
50,higher_education,single,30992.0,only_kid,2013-04-22,83,17,0,14,7,3,2,43,1,0,3,1,7,4,no campaign,0
43,higher_education,single,101970.0,no_child,2013-03-12,69,722,27,102,44,72,168,1135,6,8,13,0,2,27,1st_campaign,0
61,higher_education,relationship,71488.0,no_child,2013-02-18,87,162,33,124,40,28,172,559,3,4,7,2,1,14,no campaign,0
42,higher_education,single,79607.0,no_child,2013-04-21,37,450,133,951,173,0,216,1923,3,6,6,1,1,15,last_campaign,0
73,higher_education,relationship,54348.0,kid_and_teen,2014-06-08,51,70,0,16,0,0,4,90,2,0,4,2,6,6,no campaign,0
65,higher_education,relationship,52247.25135379061,only_teen,2013-07-11,23,352,0,27,10,0,15,404,6,1,7,3,6,14,no campaign,0
70,higher_education,relationship,77376.0,kid_and_teen,2014-05-10,72,492,19,110,16,12,12,661,6,3,10,4,4,19,no campaign,0
74,higher_education,relationship,62998.0,only_teen,2013-09-30,10,120,58,73,65,89,58,463,5,4,5,5,5,14,no campaign,0
68,higher_education,single,61331.0,kid_and_teen,2013-03-10,42,534,5,47,0,5,41,632,11,1,6,5,8,18,no campaign,0
57,higher_education,relationship,73448.0,no_child,2014-02-10,10,236,106,189,23,41,130,725,7,2,9,1,4,18,no campaign,0
63,higher_education,relationship,52247.25135379061,only_teen,2013-08-11,96,231,65,196,38,71,124,725,6,5,7,1,4,18,no campaign,0
62,higher_education,relationship,41551.0,kid_and_teen,2013-08-14,51,220,0,33,3,0,23,279,5,1,5,5,8,11,no campaign,0
59,higher_education,relationship,62981.0,no_child,2013-03-17,21,796,14,590,38,44,0,1482,4,5,13,1,3,22,4th_campaign,0
50,Basic,single,9548.0,only_kid,2012-08-08,31,0,1,3,10,6,9,29,1,0,3,2,8,4,no campaign,0
67,higher_education,relationship,33762.0,kid_and_teen,2013-07-07,61,53,1,34,2,0,16,106,2,2,2,3,8,6,no campaign,0
53,higher_education,single,35860.0,kid_and_teen,2014-05-19,37,15,0,8,4,2,20,49,1,1,2,2,5,4,3rd_campaign,0
61,higher_education,single,36921.0,kid_and_teen,2013-07-28,74,17,1,12,3,1,4,38,2,0,3,2,7,5,no campaign,0
34,higher_education,single,92859.0,no_child,2012-10-19,46,962,61,921,52,61,20,2077,5,4,12,1,2,21,no campaign,0
50,higher_education,relationship,65104.0,only_teen,2013-11-14,4,738,0,232,13,20,50,1053,3,5,7,2,7,15,last_campaign,0
64,higher_education,relationship,86111.0,no_child,2013-04-19,73,399,28,756,36,40,126,1385,5,7,10,1,2,22,no campaign,0
52,higher_education,single,68352.0,only_teen,2013-08-28,47,614,16,132,43,33,33,871,8,5,9,3,6,22,no campaign,0
38,higher_education,relationship,41883.0,only_kid,2013-03-19,13,32,34,41,73,16,116,312,4,2,3,3,7,9,no campaign,0
50,higher_education,relationship,59809.0,kid_and_teen,2012-10-18,36,598,16,141,32,41,49,877,3,3,6,3,8,12,no campaign,0
51,higher_education,relationship,23957.0,only_kid,2012-10-28,47,2,1,18,20,11,16,68,2,0,3,1,6,5,last_campaign,0
45,higher_education,relationship,38547.0,only_kid,2013-08-28,49,6,1,10,0,1,4,22,1,0,2,1,8,3,no campaign,1
53,higher_education,relationship,35688.0,kid_and_teen,2012-08-22,94,73,3,90,12,1,32,211,4,1,4,7,8,9,no campaign,0
60,higher_education,relationship,49605.0,no_child,2014-06-21,65,42,16,29,12,20,8,127,2,1,4,1,3,7,no campaign,0
73,higher_education,relationship,59354.0,kid_and_teen,2014-04-24,59,295,21,78,39,13,13,459,4,4,7,1,3,15,no campaign,0
57,higher_education,relationship,65747.0,only_teen,2014-03-07,96,346,17,48,23,13,13,460,8,1,6,4,6,15,4th_campaign,0
54,higher_education,relationship,46344.0,only_teen,2012-12-14,28,233,20,57,8,20,91,429,7,1,5,4,7,13,no campaign,0
38,higher_education,single,34176.0,only_kid,2014-05-12,12,5,7,24,19,14,20,89,3,0,4,4,6,7,no campaign,0
74,higher_education,relationship,61010.0,only_teen,2012-10-09,57,888,0,57,0,0,76,1021,8,5,11,2,5,24,no campaign,0
77,higher_education,relationship,69372.0,no_child,2013-02-19,10,997,26,269,34,13,42,1381,10,4,6,1,4,20,4th_campaign,0
68,higher_education,single,49967.0,only_teen,2013-07-08,4,212,6,69,4,12,3,306,6,1,5,3,7,12,no campaign,0
48,higher_education,single,60199.0,kid_and_teen,2013-09-12,49,8,1,7,2,0,0,18,0,0,3,1,4,3,no campaign,0
49,higher_education,relationship,55375.0,only_teen,2013-10-17,3,42,11,57,10,28,14,162,1,1,6,1,2,8,no campaign,0
71,higher_education,single,80317.0,no_child,2013-08-20,64,536,11,387,149,91,57,1231,3,4,10,1,1,17,no campaign,0
68,higher_education,single,30523.0,kid_and_teen,2013-07-01,0,5,0,3,0,0,5,13,1,0,2,1,7,3,no campaign,0
81,higher_education,relationship,70356.0,no_child,2012-11-05,20,1349,16,249,43,16,33,1706,10,6,9,2,6,25,no campaign,0
42,higher_education,relationship,23228.0,only_kid,2014-01-05,91,53,3,49,7,4,5,121,3,0,4,4,8,7,no campaign,0
51,higher_education,single,74165.0,no_child,2013-05-01,9,1001,12,240,16,12,12,1293,5,4,10,1,2,19,no campaign,0
53,higher_education,relationship,157243.0,only_teen,2014-03-01,98,20,2,1582,1,2,1,1608,0,22,0,15,0,22,no campaign,0
60,higher_education,relationship,43482.0,kid_and_teen,2013-11-13,83,18,1,32,6,3,28,88,2,0,4,3,6,6,no campaign,0
73,higher_education,single,62551.0,no_child,2013-11-18,27,125,16,98,134,21,27,421,6,7,4,1,3,17,3rd_campaign,0
67,higher_education,single,52332.0,no_child,2013-08-28,63,212,5,33,7,0,2,259,3,2,6,1,4,11,4th_campaign,0
38,higher_education,single,66951.0,no_child,2013-11-02,46,277,162,305,173,76,124,1117,3,4,7,1,1,14,no campaign,0
69,higher_education,relationship,26091.0,kid_and_teen,2014-02-25,84,15,10,19,8,17,20,89,2,1,3,3,5,6,no campaign,0
61,higher_education,relationship,33456.0,kid_and_teen,2014-04-21,58,7,3,10,8,1,7,36,1,0,3,2,7,4,no campaign,0
44,higher_education,relationship,28718.0,only_kid,2013-07-13,78,12,4,6,11,8,16,57,2,0,3,2,8,5,no campaign,0
56,higher_education,relationship,50447.0,kid_and_teen,2014-04-21,4,85,7,24,2,3,27,148,3,1,3,1,6,7,no campaign,0
67,higher_education,relationship,53537.0,kid_and_teen,2014-01-30,17,81,0,6,0,0,6,93,2,1,3,2,5,6,no campaign,0
59,higher_education,single,52074.0,only_teen,2014-04-04,77,59,0,12,0,0,48,119,2,2,2,1,4,6,3rd_campaign,0
51,higher_education,relationship,80427.0,only_teen,2012-09-12,56,1149,71,449,69,71,26,1835,11,8,8,1,5,27,no campaign,0
78,higher_education,relationship,83837.0,no_child,2012-12-16,79,847,66,119,86,89,111,1318,9,10,5,1,4,24,1st_campaign,0
56,higher_education,relationship,38853.0,kid_and_teen,2014-05-23,90,29,0,14,0,0,2,45,2,0,3,2,7,5,no campaign,0
67,higher_education,relationship,38285.0,kid_and_teen,2014-06-24,96,2,0,5,2,0,1,10,0,0,3,1,2,3,no campaign,0
75,higher_education,relationship,78497.0,no_child,2013-12-01,44,207,26,447,75,0,223,978,5,7,12,1,2,24,1st_campaign,0
50,higher_education,relationship,51650.0,only_teen,2014-05-11,81,152,3,22,2,5,7,191,4,1,4,1,5,9,no campaign,0
38,higher_education,relationship,16248.0,only_kid,2014-05-10,77,12,11,10,3,12,9,57,2,1,3,3,6,6,no campaign,0
80,higher_education,relationship,66835.0,no_child,2013-09-28,21,620,26,195,34,17,141,1033,6,4,13,1,2,23,no campaign,0
42,higher_education,relationship,30477.0,only_kid,2014-01-22,16,47,1,6,0,0,12,66,1,1,3,1,6,5,no campaign,0
65,Basic,relationship,28249.0,no_child,2014-06-15,80,1,9,7,2,14,10,43,2,0,3,1,6,5,no campaign,0
43,higher_education,relationship,25271.0,only_kid,2012-12-05,45,10,1,18,10,4,7,50,1,1,2,1,9,4,no campaign,0
56,higher_education,single,32303.0,only_teen,2014-03-08,63,35,0,2,0,0,2,39,1,0,4,2,5,5,no campaign,0
60,higher_education,relationship,61286.0,only_teen,2013-08-02,34,356,0,107,19,9,117,608,7,1,8,2,5,16,no campaign,0
50,higher_education,relationship,74068.0,no_child,2013-03-19,14,783,30,537,140,76,15,1581,4,10,9,1,2,23,no campaign,0
62,higher_education,relationship,45759.0,kid_and_teen,2013-02-23,13,42,1,18,3,0,4,68,2,0,3,2,7,5,no campaign,0
48,Basic,relationship,24882.0,only_kid,2012-09-09,52,1,4,10,29,0,36,80,1,1,2,1,6,4,3rd_campaign,0
37,higher_education,relationship,66973.0,no_child,2013-05-17,98,466,22,432,147,113,102,1282,8,7,12,1,3,27,no campaign,0
38,higher_education,relationship,38872.0,only_kid,2013-05-30,93,23,3,21,3,19,22,91,3,0,3,2,8,6,no campaign,0
53,higher_education,relationship,51148.0,kid_and_teen,2013-02-18,38,235,6,45,8,9,12,315,5,1,6,4,6,12,no campaign,0
49,higher_education,relationship,31353.0,kid_and_teen,2013-12-29,24,10,0,10,3,1,7,31,1,1,2,2,8,4,no campaign,0
46,higher_education,relationship,69661.0,no_child,2014-05-13,80,656,16,106,32,16,8,834,7,3,12,1,3,22,no campaign,0
72,higher_education,relationship,80067.0,no_child,2013-09-19,82,519,17,813,27,173,51,1600,4,6,6,1,2,16,5th_campaign,0
72,higher_education,relationship,86718.0,no_child,2013-01-17,20,344,189,482,50,33,172,1270,5,6,5,1,2,16,no campaign,0
53,higher_education,single,46854.0,kid_and_teen,2014-03-31,81,96,1,79,7,1,79,263,5,1,3,6,8,9,3rd_campaign,0
74,higher_education,single,69142.0,only_teen,2014-06-29,50,448,4,34,6,4,39,535,8,1,7,3,5,16,4th_campaign,0
58,higher_education,single,75922.0,no_child,2013-12-09,60,265,138,553,224,23,92,1295,4,4,9,1,1,17,no campaign,0
48,higher_education,single,63693.0,only_teen,2013-10-14,63,587,43,337,42,87,54,1150,11,6,9,3,6,26,no campaign,0
49,higher_education,relationship,102160.0,no_child,2012-11-02,54,763,29,138,76,176,58,1240,7,9,10,0,4,26,1st_campaign,0
61,higher_education,single,40637.0,kid_and_teen,2013-07-17,72,22,0,13,0,0,3,38,1,0,3,2,7,4,no campaign,0
42,higher_education,single,18890.0,no_child,2012-11-10,5,6,4,1,7,2,15,35,0,1,2,1,6,3,3rd_campaign,0
38,higher_education,relationship,29604.0,only_kid,2013-12-08,88,7,6,13,7,6,14,53,1,0,3,1,9,4,3rd_campaign,0
63,higher_education,single,48721.0,kid_and_teen,2013-05-13,50,81,18,113,47,13,21,293,4,2,5,6,6,11,no campaign,0
60,higher_education,relationship,44794.0,only_teen,2014-06-08,99,54,0,7,0,0,4,65,2,0,3,1,6,5,no campaign,0
72,higher_education,single,64497.0,only_teen,2012-09-10,17,1170,48,320,42,32,192,1804,11,4,9,5,8,24,3rd_campaign,0
70,higher_education,relationship,46097.0,only_teen,2013-03-31,11,72,24,68,65,4,8,241,3,1,6,5,4,10,no campaign,0
72,higher_education,relationship,77972.0,no_child,2014-03-18,18,613,22,319,33,102,12,1101,4,6,9,1,1,19,no campaign,0
58,higher_education,relationship,44377.0,kid_and_teen,2012-10-05,70,224,0,30,0,0,10,264,5,1,5,8,8,11,no campaign,0
52,higher_education,relationship,46014.0,kid_and_teen,2013-01-21,21,410,0,59,19,9,44,541,7,1,8,10,7,16,no campaign,0
41,higher_education,relationship,70951.0,no_child,2013-05-04,66,239,10,554,254,87,54,1198,3,4,9,1,1,16,no campaign,0
49,higher_education,relationship,41443.0,only_kid,2014-04-01,79,171,7,171,25,19,89,482,8,1,5,6,8,14,no campaign,0
